	55157
A1BG	198
A1BG-AS1	98
A1CF	351
A2M	105
A2M-AS1	186
A2ML1	141
A2ML1-AS1	343
A2ML1-AS2	171
A2MP1	154
A3GALT2	233
A4GALT	176
A4GNT	110
AAAS	273
AACS	193
AACSP1	152
AADAC	141
AADACL2	195
AADACL2-AS1	807
AADACL3	94
AADACL4	238
AADACP1	111
AADAT	320
AAGAB	791
AAK1	114
AAMDC	129
AAMP	107
AANAT	363
AAR2	1756
AARD	485
AARS1	30
AARS1P1	348
AARS2	2243
AARSD1	49
AASDH	102
AASDHPPT	621
AASS	1034
AATBC	265
AATF	638
AATK	680
ABALON	136
ABAT	73
ABBA01000933.1	712
ABBA01000935.2	412
ABBA01006766.1	357
ABBA01010928.1	154
ABBA01031658.1	737
ABBA01031669.1	93
ABBA01045074.1	177
ABBA01045074.2	42
ABCA1	156
ABCA10	133
ABCA11P	42
ABCA12	731
ABCA13	475
ABCA17P	129
ABCA2	66
ABCA3	229
ABCA4	596
ABCA5	74
ABCA6	170
ABCA7	113
ABCA8	212
ABCA9	156
ABCA9-AS1	254
ABCB1	580
ABCB10	158
ABCB10P1	19
ABCB10P3	1
ABCB10P4	5
ABCB11	1485
ABCB4	1028
ABCB5	572
ABCB6	27
ABCB7	1889
ABCB8	413
ABCB9	183
ABCC1	248
ABCC10	319
ABCC11	70
ABCC12	192
ABCC13	630
ABCC2	304
ABCC3	439
ABCC4	526
ABCC5	145
ABCC5-AS1	216
ABCC6	59
ABCC6P1	163
ABCC6P2	28
ABCC8	836
ABCC9	264
ABCD1	184
ABCD1P2	128
ABCD1P3	33
ABCD1P4	82
ABCD1P5	71
ABCD2	168
ABCD3	902
ABCD4	1316
ABCE1	532
ABCF1	33
ABCF2	510
ABCF2P1	606
ABCF2P2	2820
ABCF3	103
ABCG1	1189
ABCG2	317
ABCG4	82
ABCG5	388
ABCG8	133
ABHD1	131
ABHD10	317
ABHD11	98
ABHD11-AS1	221
ABHD12	266
ABHD12B	74
ABHD13	967
ABHD14A	42
ABHD14A-ACY1	5
ABHD14B	45
ABHD15	94
ABHD15-AS1	125
ABHD16A	51
ABHD16B	414
ABHD17A	44
ABHD17AP1	146
ABHD17AP3	173
ABHD17AP4	456
ABHD17AP5	751
ABHD17AP6	113
ABHD17AP8	9
ABHD17B	453
ABHD17C	1137
ABHD18	88
ABHD2	419
ABHD3	102
ABHD4	245
ABHD5	995
ABHD6	220
ABHD8	81
ABI1	350
ABI1P1	131
ABI2	414
ABI3	1132
ABI3BP	525
ABITRAM	420
ABITRAMP1	119
ABL1	648
ABL2	122
ABLIM1	176
ABLIM2	1143
ABLIM3	669
ABO	408
ABR	980
ABRA	385
ABRACL	514
ABRAXAS1	286
ABRAXAS2	95
ABT1	104
ABT1P1	81
ABTB1	253
ABTB2	151
AC000029.1	57
AC000029.2	941
AC000032.1	66
AC000035.1	391
AC000036.1	304
AC000041.1	320
AC000050.1	226
AC000050.3	226
AC000058.1	1076
AC000061.1	454
AC000065.1	682
AC000065.2	107
AC000067.1	1215
AC000068.1	20
AC000068.2	308
AC000068.3	18
AC000072.1	115
AC000077.1	1231
AC000078.1	318
AC000081.1	186
AC000081.2	70
AC000082.1	265
AC000085.1	73
AC000089.1	726
AC000093.1	313
AC000095.1	97
AC000095.2	232
AC000095.3	59
AC000111.1	232
AC000111.2	1544
AC000113.1	1770
AC000114.1	1229
AC000120.1	2
AC000120.2	57
AC000120.4	26
AC000123.1	399
AC000123.2	21
AC000123.3	321
AC000124.1	911
AC000362.1	2157
AC000367.1	3163
AC000372.1	1287
AC000374.1	144
AC000403.1	253
AC001226.1	146
AC001226.2	5
AC002044.1	15
AC002044.2	798
AC002044.3	59
AC002056.1	32
AC002056.2	79
AC002057.1	1371
AC002057.2	406
AC002059.1	94
AC002059.2	85
AC002059.3	115
AC002064.1	91
AC002064.2	236
AC002064.3	196
AC002064.4	572
AC002066.1	64
AC002069.1	160
AC002069.2	1521
AC002069.3	293
AC002069.4	655
AC002070.1	407
AC002072.1	808
AC002073.1	63
AC002074.1	937
AC002074.2	1070
AC002075.1	326
AC002075.2	897
AC002076.1	161
AC002076.2	64
AC002090.1	4248
AC002091.1	971
AC002091.2	2478
AC002094.1	74
AC002094.2	16
AC002094.3	4
AC002094.4	89
AC002094.5	136
AC002101.1	930
AC002115.1	242
AC002116.1	14
AC002116.2	58
AC002127.1	356
AC002128.1	236
AC002128.2	1139
AC002306.1	182
AC002310.1	72
AC002310.2	105
AC002310.3	48
AC002310.4	5
AC002310.5	84
AC002331.1	1473
AC002347.1	171
AC002347.2	186
AC002350.1	14
AC002350.2	102
AC002351.1	3221
AC002359.1	1070
AC002365.1	1285
AC002366.1	1685
AC002368.1	2426
AC002375.1	629
AC002377.1	399
AC002378.1	406
AC002381.1	253
AC002383.1	2142
AC002386.1	1550
AC002395.1	177
AC002398.1	38
AC002398.2	17
AC002401.1	223
AC002401.2	53
AC002401.3	272
AC002401.4	334
AC002407.1	2292
AC002407.2	1727
AC002416.1	1177
AC002428.1	465
AC002428.2	1014
AC002429.1	288
AC002451.1	694
AC002451.2	399
AC002456.1	1049
AC002456.2	117
AC002458.1	942
AC002460.1	475
AC002460.2	701
AC002461.1	175
AC002463.1	874
AC002464.1	874
AC002465.1	424
AC002467.1	514
AC002470.1	274
AC002470.2	84
AC002472.1	139
AC002472.2	21
AC002472.3	8
AC002472.4	221
AC002480.1	1097
AC002480.2	503
AC002486.1	1460
AC002486.2	720
AC002487.1	751
AC002504.1	4884
AC002511.1	173
AC002511.2	67
AC002511.3	148
AC002519.1	84
AC002519.2	186
AC002524.1	2941
AC002525.1	291
AC002529.1	3443
AC002540.1	1365
AC002542.1	132
AC002542.2	171
AC002542.3	75
AC002542.4	92
AC002542.5	7
AC002542.6	127
AC002543.1	501
AC002543.2	61
AC002545.1	1188
AC002546.1	576
AC002550.1	1018
AC002550.2	225
AC002551.1	320
AC002553.1	50
AC002553.2	146
AC002558.1	47
AC002558.2	154
AC002558.3	38
AC002563.1	967
AC002980.1	2988
AC002981.1	5029
AC002984.1	30
AC002985.1	22
AC002996.1	128
AC003001.1	358
AC003001.2	330
AC003002.1	10
AC003002.2	25
AC003005.1	2
AC003005.2	31
AC003006.1	13
AC003009.1	2177
AC003035.1	1380
AC003035.2	2452
AC003043.1	492
AC003043.2	74
AC003043.3	254
AC003044.1	1116
AC003070.1	603
AC003070.2	244
AC003070.7	223
AC003071.1	243
AC003072.1	34
AC003072.2	253
AC003077.1	968
AC003080.1	671
AC003084.1	2689
AC003086.1	725
AC003087.1	1177
AC003092.1	829
AC003092.2	1036
AC003093.1	503
AC003098.1	147
AC003101.1	147
AC003101.2	8
AC003101.3	1072
AC003102.1	332
AC003109.1	763
AC003657.1	1213
AC003657.2	971
AC003659.1	2304
AC003666.1	1372
AC003669.1	549
AC003681.1	82
AC003682.1	50
AC003684.1	992
AC003685.1	505
AC003685.2	403
AC003686.1	429
AC003687.1	682
AC003688.1	49
AC003688.2	48
AC003688.3	91
AC003950.1	592
AC003956.1	43
AC003957.1	241
AC003958.1	439
AC003958.2	712
AC003965.1	188
AC003965.2	301
AC003973.1	80
AC003973.2	108
AC003975.1	2079
AC003982.1	433
AC003984.1	1133
AC003985.1	877
AC003986.1	1669
AC003986.2	1689
AC003986.3	189
AC003988.1	214
AC003989.1	367
AC003989.2	329
AC003991.1	331
AC003991.2	622
AC003992.1	1296
AC004000.1	155
AC004004.1	202
AC004006.1	1973
AC004009.1	284
AC004009.2	283
AC004009.3	184
AC004012.1	461
AC004014.1	2454
AC004014.2	249
AC004022.1	584
AC004022.2	438
AC004023.1	1622
AC004024.1	134
AC004034.1	144
AC004039.1	176
AC004047.1	649
AC004052.1	765
AC004053.1	770
AC004054.1	1144
AC004057.1	878
AC004062.1	1344
AC004063.1	1358
AC004066.1	475
AC004067.1	258
AC004069.1	149
AC004069.2	422
AC004069.3	478
AC004074.1	739
AC004076.1	80
AC004076.2	14
AC004079.2	3
AC004079.3	6
AC004079.4	9
AC004079.5	2
AC004080.1	402
AC004080.10	84
AC004080.11	83
AC004080.12	14
AC004080.13	16
AC004080.14	8
AC004080.15	17
AC004080.16	48
AC004080.17	381
AC004080.2	181
AC004080.3	8
AC004080.4	159
AC004080.5	46
AC004080.6	2
AC004080.7	15
AC004080.8	17
AC004080.9	60
AC004083.1	508
AC004112.1	483
AC004125.1	3412
AC004129.1	1489
AC004129.2	246
AC004129.3	1702
AC004129.4	214
AC004130.1	378
AC004130.2	1271
AC004134.1	126
AC004147.1	320
AC004147.2	229
AC004147.3	1267
AC004147.4	873
AC004147.5	211
AC004148.1	70
AC004156.1	23
AC004158.1	381
AC004160.1	1514
AC004160.2	561
AC004217.1	86
AC004217.2	164
AC004221.1	66
AC004223.1	58
AC004223.2	78
AC004223.3	4
AC004223.4	114
AC004224.1	93
AC004224.2	74
AC004231.1	765
AC004231.3	841
AC004232.1	32
AC004232.2	34
AC004233.1	205
AC004233.2	219
AC004233.3	216
AC004241.1	230
AC004241.2	186
AC004241.3	65
AC004241.4	67
AC004241.5	306
AC004253.1	79
AC004253.2	132
AC004257.1	72
AC004263.1	69
AC004263.2	27
AC004264.1	399
AC004264.2	51
AC004381.1	129
AC004381.2	75
AC004381.3	322
AC004381.4	59
AC004383.1	682
AC004386.1	278
AC004386.2	439
AC004386.3	21
AC004386.4	12
AC004386.5	58
AC004386.6	101
AC004386.7	254
AC004408.1	90
AC004408.2	188
AC004415.1	1048
AC004448.1	177
AC004448.2	150
AC004448.3	158
AC004448.4	42
AC004448.5	80
AC004449.1	117
AC004453.1	856
AC004453.2	1031
AC004461.1	38
AC004461.2	76
AC004461.3	84
AC004464.1	966
AC004466.1	31
AC004466.2	91
AC004466.3	65
AC004467.1	942
AC004470.1	1498
AC004470.2	2258
AC004471.1	53
AC004471.2	57
AC004477.1	25
AC004477.2	19
AC004477.3	11
AC004485.1	1973
AC004486.1	543
AC004490.1	62
AC004491.1	198
AC004492.1	474
AC004494.1	82
AC004494.2	113
AC004510.1	108
AC004522.1	242
AC004522.2	168
AC004522.3	67
AC004522.4	118
AC004522.5	155
AC004522.6	48
AC004528.1	248
AC004528.2	33
AC004540.1	348
AC004540.2	501
AC004542.1	6
AC004542.2	361
AC004542.3	16
AC004542.5	3
AC004542.6	2
AC004543.1	671
AC004549.1	629
AC004551.1	1600
AC004552.1	1891
AC004554.1	724
AC004554.2	3066
AC004562.1	249
AC004584.1	31
AC004584.2	39
AC004584.3	46
AC004585.1	544
AC004585.2	233
AC004590.1	489
AC004593.1	783
AC004593.2	43
AC004594.1	946
AC004596.1	19
AC004597.1	341
AC004623.1	117
AC004637.1	169
AC004664.1	1212
AC004672.1	433
AC004672.2	593
AC004674.1	1152
AC004674.2	862
AC004678.1	12
AC004678.2	27
AC004687.1	316
AC004687.2	237
AC004687.3	359
AC004690.1	241
AC004690.2	1306
AC004691.1	672
AC004691.2	141
AC004692.1	1403
AC004692.2	1007
